"Date","Open","High","Low","Close","Volume"
"Dec 30, 2024","4,080.00","4,120.00","4,070.00","4,080.00","153,934,700"
"Dec 27, 2024","135.00","","","",""
"Dec 27, 2024","4,100.00","4,120.00","4,080.00","4,100.00","143,104,400"
"Dec 24, 2024","4,220.00","4,250.00","4,170.00","4,200.00","199,536,100"
"Dec 23, 2024","4,130.00","4,210.00","4,110.00","4,210.00","167,689,800"
"Dec 20, 2024","4,070.00","4,120.00","4,050.00","4,060.00","252,689,600"
"Dec 19, 2024","4,090.00","4,110.00","4,050.00","4,090.00","381,986,300"
"Dec 18, 2024","4,170.00","4,210.00","4,130.00","4,150.00","205,055,500"
"Dec 17, 2024","4,250.00","4,290.00","4,150.00","4,150.00","327,919,000"
"Dec 16, 2024","4,150.00","4,280.00","4,150.00","4,250.00","325,441,900"
"Dec 13, 2024","4,230.00","4,280.00","4,170.00","4,170.00","287,838,100"
"Dec 12, 2024","4,340.00","4,360.00","4,260.00","4,260.00","226,698,900"
"Dec 11, 2024","4,340.00","4,430.00","4,340.00","4,380.00","203,980,300"
"Dec 10, 2024","4,360.00","4,380.00","4,290.00","4,360.00","196,160,900"
"Dec 9, 2024","4,310.00","4,390.00","4,300.00","4,390.00","158,897,200"
"Dec 6, 2024","4,250.00","4,310.00","4,220.00","4,310.00","151,433,000"
"Dec 5, 2024","4,310.00","4,340.00","4,250.00","4,260.00","183,249,300"
"Dec 4, 2024","4,240.00","4,370.00","4,220.00","4,350.00","345,762,200"
"Dec 3, 2024","4,240.00","4,250.00","4,210.00","4,240.00","384,146,700"
"Dec 2, 2024","4,270.00","4,280.00","4,160.00","4,170.00","337,188,900"
"Nov 29, 2024","4,280.00","4,300.00","4,250.00","4,250.00","412,519,800"
"Nov 28, 2024","4,350.00","4,390.00","4,330.00","4,330.00","277,081,800"
"Nov 26, 2024","4,450.00","4,470.00","4,380.00","4,400.00","266,677,500"
"Nov 25, 2024","4,420.00","4,530.00","4,420.00","4,470.00","401,446,400"
"Nov 22, 2024","4,250.00","4,420.00","4,250.00","4,400.00","280,188,100"
"Nov 21, 2024","4,280.00","4,320.00","4,250.00","4,250.00","376,788,400"
"Nov 20, 2024","4,400.00","4,440.00","4,330.00","4,330.00","298,734,600"
"Nov 19, 2024","4,350.00","4,410.00","4,350.00","4,360.00","294,838,700"
"Nov 18, 2024","4,440.00","4,460.00","4,350.00","4,350.00","253,272,300"
"Nov 15, 2024","4,450.00","4,510.00","4,450.00","4,470.00","106,365,600"
"Nov 14, 2024","4,570.00","4,590.00","4,500.00","4,500.00","159,871,800"
"Nov 13, 2024","4,470.00","4,610.00","4,460.00","4,580.00","209,627,200"
"Nov 12, 2024","4,430.00","4,520.00","4,430.00","4,500.00","252,380,100"
"Nov 11, 2024","4,470.00","4,540.00","4,370.00","4,460.00","507,192,300"
"Nov 8, 2024","4,600.00","4,640.00","4,520.00","4,520.00","198,589,900"
"Nov 7, 2024","4,610.00","4,640.00","4,550.00","4,550.00","296,218,600"
"Nov 6, 2024","4,710.00","4,730.00","4,600.00","4,600.00","249,059,500"
"Nov 5, 2024","4,690.00","4,740.00","4,680.00","4,710.00","199,499,300"
"Nov 4, 2024","4,710.00","4,770.00","4,650.00","4,720.00","209,831,500"
"Nov 1, 2024","4,770.00","4,820.00","4,700.00","4,700.00","235,656,400"
"Oct 31, 2024","4,710.00","4,870.00","4,710.00","4,800.00","307,110,400"
"Oct 30, 2024","4,630.00","4,750.00","4,630.00","4,710.00","296,314,500"
"Oct 29, 2024","4,730.00","4,780.00","4,700.00","4,700.00","203,658,600"
"Oct 28, 2024","4,770.00","4,800.00","4,710.00","4,760.00","191,211,000"
"Oct 25, 2024","4,820.00","4,860.00","4,770.00","4,770.00","195,647,800"
"Oct 24, 2024","4,820.00","4,900.00","4,810.00","4,820.00","218,162,100"
"Oct 23, 2024","4,830.00","4,890.00","4,810.00","4,860.00","222,147,300"
"Oct 22, 2024","4,960.00","4,970.00","4,900.00","4,900.00","199,707,500"
"Oct 21, 2024","4,980.00","5,025.00","4,970.00","4,990.00","110,708,200"
"Oct 18, 2024","5,025.00","5,050.00","4,960.00","4,970.00","157,113,000"
"Oct 17, 2024","4,960.00","5,050.00","4,940.00","4,980.00","188,127,700"
"Oct 16, 2024","4,950.00","4,970.00","4,920.00","4,950.00","118,014,300"
"Oct 15, 2024","4,930.00","4,990.00","4,920.00","4,920.00","142,372,200"
"Oct 14, 2024","4,900.00","4,930.00","4,870.00","4,900.00","125,414,400"
"Oct 11, 2024","4,910.00","4,940.00","4,890.00","4,900.00","104,875,300"
"Oct 10, 2024","4,920.00","4,970.00","4,860.00","4,860.00","226,564,700"
"Oct 9, 2024","5,000.00","5,075.00","4,930.00","4,930.00","309,336,600"
"Oct 8, 2024","4,800.00","5,050.00","4,760.00","5,000.00","527,474,400"
"Oct 7, 2024","4,860.00","4,930.00","4,810.00","4,820.00","308,452,200"
"Oct 4, 2024","4,870.00","4,920.00","4,850.00","4,860.00","289,960,700"
"Oct 3, 2024","4,900.00","4,960.00","4,860.00","4,920.00","354,814,800"
"Oct 2, 2024","5,000.00","5,075.00","4,900.00","4,940.00","307,487,600"
"Oct 1, 2024","4,970.00","5,075.00","4,970.00","5,075.00","197,069,300"
"Sep 30, 2024","5,050.00","5,050.00","4,950.00","4,950.00","539,169,900"
"Sep 27, 2024","5,050.00","5,150.00","5,000.00","5,100.00","304,694,300"
"Sep 26, 2024","5,150.00","5,200.00","5,025.00","5,050.00","855,266,800"
"Sep 25, 2024","5,400.00","5,425.00","5,200.00","5,325.00","607,065,900"
